Category,Count,ATC,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_P,ATC_R,ATC_S,ATC_V,statin,ezetimibe,pcsk9,fibrate,bas,niacin,n3fa,glm,insulin,arb,anticoag,diuretic,ccb,bb,antiplatelet,acei,thr,anti_ht
crotamiton 10% cream,5,D04AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
csa - cyclosporin a,2,S01XA18,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
cuplex gel,1, D11AF,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuprofen 200mg tablet,50,M01AE01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
cuprofen 5% gel,6,N02AA59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuprofen plus tablet,22,N02AJ08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curatoderm 4micrograms/g ointment,28,D05AX04,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
cutivate 0.05% cream,21,D07AC,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
cya - cyclosporin,19,L04AD01|S01XA18,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
cya - cyclosporin a,1,S01XA18,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
cyanocobalamin product,153,B03BA01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclizine,210,R06AE03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
cyclogest 200mg pessary,10,G03DA04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclogest 200mg suppository,5,G03DA04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclopenthiazide,12,C03AA07,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
cyclopentolate,11,S01FA04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
cyclophosphamide,54,L01AA01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
cyclo-progynova 1mg tablet,72,G03F,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cycloserine,3,J04AB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
cyclospasmol 400mg tablet,1,C04AX01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclosporin,89,L04AD01|S01XA18,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
cyclosporin product,6,L04AD01|S01XA18,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
cyklokapron 500mg tablet,15,B02AA02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cymalon cranberry 1.5g/5ml liquid,176,A12BA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cymalon sachet,1,B05CB02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cymbalta 30mg gastro-resistant capsule,48,N06AX21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cymevene 500mg i-v infusion (pdr for recon),1,S01AD09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
cyproheptadine,4,R06AX02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
cyprostat 50mg tablet,4,G03HA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cyproterone,45,G03HA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cyproterone acetate+ethinylestradiol,6,G03HA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cysteamine,1,S01XA21,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
cystopurin 3g/sachet granules,5,A12BA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cystrin 3mg tablet,9,G04BD04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cytacon 50micrograms tablet,9,B03BA01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cytamen 1mg/1ml injection,35,B03BA01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cytotec 200mcg tablet,8,G02AD06,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
daktacort cream,351,D01AC20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin 0.16% powder spray,7,A01AB09|A07AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin 2% cream,66,D01AC02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin 2% dusting powder,3,D01AC02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin 25mg/ml oral gel,11,A01AB09|A07AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin dual action 0.16% powder spray,1,D01AC02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin dual action 2% cream,3,D01AC02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin gold 2% cream,5,D01AC02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktarin powder,2,D01AC02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalacin 2% cream,12,G01AA10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dalacin c 150mg capsule,2,G01AA10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dalacin c 75mg capsule,1,G01AA10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dalacin t rollerball lotion,10,D10AF01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalacin t topical solution,26,D10AF01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalivit capsule,2,A11A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalmane 15mg capsule,6,N05CD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalteparin,3,B01AB12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danaparoid sodium,1,B01AB09,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
danazol,18,G03XA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
danazol product,1,G03XA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dandrazol 2% shampoo,2,D01AC08,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dandrazol antidandruff 2% shampoo,1,D01AC08,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
danol 100mg capsule,5,G03XA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dantrium 100mg capsule,1,M03CA01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
dantrium 25mg capsule,8,M03CA01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
dantrolene,22,M03CA01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
dapsone,66,D10AX05|J04BA02,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
darbepoetin alfa,10,B03XA02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day and night nurse capsule,2,N02BE51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day nurse capsule,1,N02BE51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dayleve 0.1% cream,1,D02AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddavp 100micrograms tablet,6,H01BA02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
decapeptyl sr 3mg injection (pdr for recon)+diluent,13,L02AE04,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
decaserpyl 5mg tablet,1,C02AA06,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decazate 25mg/1ml oily injection,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decongestant 0.05% nasal spray,17,R01AA05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
decubal cream,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deep relief ibuprofen gel,121,M02AX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
defanac 25mg e/c tablet,2,D11AX18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
deferiprone,1,V03AC02,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
deflazacort,7,H02AB13,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
dehydrocholic acid,1,A05AA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deltacortril enteric 2.5mg e/c tablet,4,S03BA02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
deltahydrocortisone,2,S03BA02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
demeclocycline,2,J01AA01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
denzapine 25mg tablet,2,NO5AH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deoxyribonuclease,1,R05CB13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
depakote 250mg e/c tablet,153,N05AX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depixol 3mg tablet,64,N05AF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depocillin 3g injection,2,J01CE09,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
deponit 5mg/24hours transdermal patch,6,C05AE01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depo-provera 50mg/1ml injection,369,G03AC06,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dequacaine lozenge,1,R02AA20,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dequadin lozenge,2,R02AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dermablend leg and body natural cover cream,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermacare cream 100ml,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermacare cream 150ml,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermacare lotion 500ml,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermacare lotion 75ml,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermacort cream,8,S02BA01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
dermalo bath emollient,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermamist spray,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermol 200 shower emollient,67,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermol 500 lotion,175,D08A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermol cream,111,D02AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermol cream 100g,5,D02AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermol cream 500g,14,D02AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermonistat cream,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermovate cream,811,D07AD01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
deseril 1mg tablet,3,N02CA04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desloratadine,699,R06AX27,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
desmopressin,128,H01BA02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
desmopressin product,12,H01BA02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
desmospray 10micrograms nasal spray,18,H01BA02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
desmotabs 200micrograms tablet,9,H01B A02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
desogestrel,52,G03AC09,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
desogestrel product,8,G03AC09,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
desoximetasone,1,D07XC02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
destolit 150mg tablet,6,A05AA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detrunorm 15mg tablet,45,G04BD06,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
detrusitol 1mg tablet,798,G04BD07,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dexamethasone,138,A01AC02|C05AA09|D07AB19|D07XB05|D10AA03|H02AB02|R01AD03|S01BA01|S01CB01|S02BA06|S03BA01,1,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,
dexamethasone+hypromellose 0.1%/0.5% eye drops,232,S02BA06,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
dexamfetamine,10,N06BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexamphetamine,10,N06BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexa-rhinaspray duo aqueous nasal spray,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexa-rhinaspray nasal spray,12,R01AD53,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dexedrine 5mg tablet,11,N06BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexketoprofen,7,M02AA27,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
dextromoramide,1,N02AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dextrose 40% oral gel,13,V06DC01,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
dextrose product,4,B05BA03,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dextrothyroxine sodium,4,C10AX01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df118 10mg/5ml elixir,1,N02AA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df118 30mg tablet,14,N02AA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df118 forte 40mg tablet,3,N02AA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhc continus 120mg m/r tablet,10,N02AA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhc continus 60mg m/r tablet,27,N02AA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhc continus 90mg m/r tablet,2,N02AA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diamicron 80mg tablet,71,A10BB09,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
diamorphine,5,N07BC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diamox 250mg tablet,14,S01EC01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
diane 2mg tablet,2,G03HB01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dianette tablet,74,G03HB01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
diareze 2mg capsule,1,A07BC04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diasorb 2mg capsule,1,A07BC04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diazepam,1458,N05BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diazepam product,16,N05BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diazoxide,4,V03AH01,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
dichloralphenazone,1,N05CC04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichlorphenamide,1,S01EC02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
diclofenac,10715,D11AX18|M01AB05|M02AA15|S01BC03,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
diclofenac sodium+misoprostol,346,M01AB55,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
dicloflex 25mg e/c tablet,609,M01AB05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
diclomax sr 75mg m/r capsule,96,M01AB05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
diclotard 75 m/r tablet,6,M01AB05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
diclovol 25mg e/c tablet,2,M01AB05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
diconal tablet,8,R06AE53,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dicyclomine,3,A03AA07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dicyclomine hydrochloride,14,A03AA07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dicycloverine,101,A03AA07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dicynene 250mg tablet,4,B02BX01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didanosine,13,J05AF02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
didronel 200mg tablet,164,M05BA01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
dienoestrol,1,G03CC02,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
diethylamine salicylate 10% cream bp,54,M02AC,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
diethylcarbamazine,1,P02CB02,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
diethylpropion,4,A08AA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diethylstilbestrol,18,G03CB02|G03CC05|L02AA01,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
differin 0.1% cream,11,D10AD03,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
difflam 0.15% spray,12,M02AA05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
difflam cream,27,M02AA05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
difflam sore throat 0.15% oral rinse,37,M02AA05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
diflucan 150mg capsule,3,J02AC01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
diflucan 200mg capsule,2,J02AC01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
diflucan 200mg/5ml oral suspension,1,J02AC01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
diflucan 50mg capsule,3,J02AC01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
diflucan one 150mg capsule,2,J02AC01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
diflucortolone,8,D07XC04,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
diflunisal,1,N02BA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digamex 62.5micrograms tablet,1,C01AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitoxin,25,C01AA04,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digoxin,1371,C01AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digoxin product,19,C01AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dihydrocodeine,1801,N02AA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dihydroergotamine mesylate,1,N02CA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dihydroxycholecalciferol,3,A11CC05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dilcardia sr 60mg m/r capsule,3,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
diltiazem,1140,C05AE03|C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
diltiazem hcl+hydrochlorothiazide 150mg/12.5mg m/r capsule,78,C08GA,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
dilzem sr 60mg long acting m/r capsule,229,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
dimenhydrinate,2,R06AA11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dimethicone,2,P03AX05 ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
dimeticone,1,P03AX05,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
dimeticone 1000+cetrimide 10%/0.3% cream,1,P03AX05,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
dindevan 10mg tablet,1,B01AA02,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
diocalm dual action tablet,6,A07DA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diocalm ultra 2mg capsule,3,A07DA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dioctyl 100mg tablet,35,A06AA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dioctyl 12.5mg/5ml paediatric solution,1,A06AA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dioctyl sodium sulphosuccinate,2,A06AA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dioderm cream,5,S02BA01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
dioralyte product,23,A07C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diovan 40mg capsule,513,C09CA03,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
dipentum 250mg capsule,12,A07EC03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diphenhydramine hydrochloride 2% cream,2,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
diphenhydramine hydrochloride 6.25mg/5ml syrup,7,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
diphenhydramine product,37,D04AA32|R06AA02,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dipipanone,2,R06AE53,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dipipanone+cyclizine 10mg/30mg tablet,1,R06AE53,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dipivefrine,1,S01EA02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
diprazinum,1,L04AX05,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
diprobase cream,880,D02AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
diprobase ointment,93,D02AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
diprobath bath additive,12,A06AA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diprosalic ointment,231,D07XC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
diprosone cream,44,D07AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dipyridamole,966,B01AC07,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
dipyridamole+aspirin,44,B01AC30,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
disipal 40mg/2ml injection,1,N04AB02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disipal 50mg tablet,6,N04AB02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disodium clodronate,3,M05BA02,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
disodium cromoglycate,20,A07EB01|D11AH03|R01AC01|R03BC01|S01GX01,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
disodium etidronate,8,MO5BA03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
disodium etidronate+calcium carbonate,11,M05BB01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
disodium pamidronate,35,M05BA03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
disopyramide,32,C01BA03,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disopyramide product,3,C01BA03,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disprin cv 100mg m/r tablet,10,N02BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disprin direct dispersible tablet,16,N02BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distaclor mr 375mg m/r tablet,2,J01DC04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
distalgesic tablet,17,N02AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distamine 50mg tablet,1,M01CC01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
distigmine,1,N07AA03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disulfiram,56,N07BB01|P03AA04,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
disulfiram product,3,P03AA04,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
dithranol,8,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dithranol 0.2% ointment bp,5,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dithranol+salicylic acid 0.25%/1.6% scalp gel,2,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dithrocream 0.1% cream,12,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dithrocream 0.25% cream,2,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dithrocream 2% cream,4,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dithrocream forte 0.5% cream,3,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dithrocream hp 1% cream,3,D05AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ditropan 2.5mg tablet,85,G04BD04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ditropan xl 5mg m/r tablet,15,G04BD04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
diumide-k continus m/r tablet,1,C03CA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
diuretic,13,C03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
diurexan 20mg tablet,2,C03BA10,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
dixarit 25mcg tablet,128,N02CX02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docusate sodium,502,A06AA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do-do chesteze tablet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolasetron,1,A04AA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolmatil 200mg tablet,5,N05AL01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doloxene compound capsule,1,N02AC04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domical 10mg tablet,1,N06AA09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominion pharma hayfever eye drops,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domperamol tablet,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domperidone,1101,A03FA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donepezil hydrochloride,25,N06DA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doralese tiltab 20mg tablet,7,C02CA02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dormonoct 1mg tablet,1,N05CD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dornase alfa,2,R05CB13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
dorzolamide,180,S01EC03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
dorzolamide+timolol,120,S01ED51,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
dostinex 500micrograms tablet,12,G02CB03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dosulepin,1807,N06AA16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dothiepin,179,N06AA16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doublebase gel,320,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dovobet ointment,622,D05AX52,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dovonex 50micrograms/g cream,277,D05AX02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
